,time,Electrode 1,Electrode 2,Electrode 3,Electrode 4,Electrode 5,Electrode 6,Electrode 7,Electrode 8
0,0.003969450182921719,168808.25,132257.0625,149623.125,133246.09375,153899.28125,149582.625,685903.625,148939.609375
1,0.0079696501379658,168802.53125,132247.40625,149617.21875,133249.84375,153894.09375,149566.34375,685987.6875,148944.078125
2,0.011969750095886411,168800.65625,132239.0,149612.21875,133247.34375,153887.5625,149551.328125,686004.8125,148944.875
3,0.01596895027978462,168793.140625,132233.90625,149603.265625,133230.796875,153877.109375,149545.96875,685981.4375,148933.609375
4,0.019969150234828703,168788.40625,132231.5,149597.375,133223.109375,153871.109375,149545.15625,685907.5,148931.828125
5,0.023969250192749314,168786.4375,132228.1875,149592.09375,133222.03125,153867.625,149544.4375,685845.8125,148937.546875
6,0.027969450151431374,168783.75,132223.625,149583.78125,133213.90625,153858.515625,149541.21875,685883.5,148929.140625
7,0.031969550109351985,168788.21875,132223.453125,149585.390625,133217.828125,153857.171875,149549.359375,686010.1875,148927.265625
8,0.03596975006439607,168784.375,132218.890625,149582.4375,133216.140625,153853.765625,149546.953125,685986.5,148930.390625
9,0.03996985002231668,168786.4375,132217.90625,149582.0,133213.09375,153852.78125,149544.71875,685922.5,148935.3125
10,0.04396905020257691,168790.90625,132216.65625,149581.09375,133209.34375,153842.234375,149525.484375,685863.3125,148914.390625
11,0.04796925016125897,168801.640625,132229.265625,149592.546875,133222.125,153849.921875,149526.5625,685847.5,148921.640625
12,0.05196965011782595,168804.765625,132230.15625,149593.609375,133221.765625,153843.75,149518.78125,685845.0625,148903.125
13,0.05596985007650801,168807.171875,132233.1875,149597.546875,133221.671875,153845.546875,149514.40625,685892.25,148907.421875
14,0.05996915025752969,168806.28125,132236.40625,149597.375,133216.5,153845.359375,149518.34375,685971.6875,148906.703125
15,0.0639692502154503,168814.15625,132251.515625,149610.421875,133225.171875,153860.5625,149541.3125,685917.5625,148918.140625
16,0.06796935017337091,168814.78125,132254.921875,149614.0,133230.53125,153864.3125,149545.0625,685878.5,148914.296875
17,0.07196945013129152,168812.546875,132252.859375,149613.28125,133230.625,153864.953125,149548.90625,685886.4375,148914.65625
18,0.07596955008557416,168811.015625,132253.046875,149614.890625,133234.90625,153871.109375,149562.859375,685863.0625,148911.625
19,0.07996965004349477,168804.140625,132244.375,149607.75,133231.328125,153870.578125,149558.484375,685882.875,148913.5
20,0.08396975000141538,168798.953125,132242.671875,149605.0625,133231.15625,153875.046875,149558.65625,685945.0,148918.765625
21,0.08796984995933599,168796.625,132240.609375,149607.203125,133237.6875,153884.53125,149563.390625,685920.0625,148934.6875
22,0.09196895013883477,168799.84375,132241.59375,149612.84375,133250.921875,153897.484375,149573.671875,685916.625,148956.40625
23,0.09596915009751683,168801.640625,132240.34375,149612.84375,133248.859375,153900.984375,149571.71875,685901.0625,148967.765625
24,0.09996935005619889,168808.609375,132242.671875,149614.453125,133247.96875,153899.640625,149573.953125,685863.125,148965.265625
25,0.10396955001124297,168811.015625,132246.34375,149617.84375,133250.640625,153901.875,149581.09375,685887.25,148971.609375
26,0.10796964996916358,168810.578125,132251.875,149619.8125,133251.546875,153904.640625,149596.75,685982.5625,148975.8125
27,0.1119697499270842,168801.546875,132242.21875,149607.75,133241.171875,153885.328125,149577.078125,685985.25,148948.1875
28,0.11596994988212828,168794.296875,132232.921875,149599.15625,133233.21875,153876.03125,149562.59375,685941.375,148943.625
29,0.11996905006526504,168794.75,132233.015625,149596.5625,133228.390625,153874.609375,149564.109375,685876.1875,148944.078125
30,0.1239692500239471,168807.625,132246.96875,149606.40625,133238.390625,153881.9375,149574.125,685824.4375,148951.40625
31,0.12799517693201778,168808.078125,132241.515625,149602.203125,133238.484375,153874.328125,149565.90625,685802.6875,148950.15625
32,0.1319949773424014,168789.109375,132210.484375,149578.328125,133214.96875,153848.3125,149536.21875,685827.4375,148930.390625
33,0.13599417752266163,168777.5,132194.578125,149563.84375,133199.859375,153829.546875,149518.6875,685944.75,148902.765625
34,0.1399943774813437,168794.03125,132209.59375,149578.953125,133215.328125,153842.234375,149529.25,685937.9375,148914.21875
35,0.1439944774392643,168790.1875,132200.5625,149572.703125,133208.359375,153831.0625,149509.75,685872.1875,148900.890625
36,0.14799467739430838,168785.984375,132198.234375,149569.203125,133207.375,153826.328125,149506.4375,685840.9375,148896.953125
37,0.15199487735299044,168790.1875,132207.625,149574.484375,133210.234375,153829.890625,149512.609375,685836.5625,148898.828125
38,0.15599497731091105,168795.546875,132219.78125,149582.265625,133213.09375,153837.046875,149516.546875,685830.75,148908.9375
39,0.15999407749040984,168803.875,132234.09375,149593.609375,133219.890625,153848.140625,149530.671875,685907.6875,148918.234375
40,0.1639942774490919,168801.984375,132235.15625,149592.640625,133212.828125,153843.84375,149529.875,685957.75,148908.046875
41,0.1679943774070125,168800.03125,132233.015625,149594.515625,133221.953125,153846.34375,149526.5625,685922.3125,148919.671875
42,0.17199447736493312,168803.875,132237.671875,149601.21875,133231.0625,153855.375,149529.78125,685917.25,148931.46875
43,0.17599457731921575,168795.546875,132224.875,149592.453125,133221.5,153846.890625,149519.140625,685888.875,148919.3125
44,0.17999467727713636,168794.21875,132224.875,149590.671875,133217.296875,153846.890625,149526.375,685849.625,148916.0
45,0.18399477723505697,168790.640625,132227.203125,149594.15625,133222.296875,153860.390625,149547.84375,685914.5625,148936.46875
46,0.18799497719373903,168780.09375,132210.671875,149582.4375,133213.546875,153852.421875,149540.0625,685961.75,148926.1875
