,time,Electrode 1,Electrode 2,Electrode 3,Electrode 4,Electrode 5,Electrode 6,Electrode 7,Electrode 8
0,0.003988650407336536,176075.703125,150997.65625,189788.9375,155502.703125,151519.984375,167952.0,177526.234375,157237.640625
1,0.007989150364664965,176218.65625,151135.265625,189940.3125,155641.1875,151678.9375,168109.984375,177681.984375,157359.78125
2,0.011989250321676082,176250.125,151177.734375,189974.734375,155681.875,151715.953125,168149.765625,177722.390625,157414.3125
3,0.0159894502789939,176185.484375,151127.75,189907.9375,155622.0625,151644.609375,168086.5625,177654.984375,157370.0625
4,0.01998865046107312,176046.546875,150995.703125,189766.40625,155493.765625,151496.375,167943.140625,177510.5,157248.46875
5,0.023988750418538984,176060.140625,150989.265625,189782.234375,155496.265625,151510.859375,167951.28125,177523.734375,157226.5625
6,0.0279888503755501,176203.546875,151121.40625,189928.765625,155633.5,151659.984375,168098.09375,177670.890625,157342.703125
7,0.03198915033271987,176239.578125,151163.25,189959.96875,155657.90625,151690.484375,168136.0,177715.0625,157389.546875
8,0.03598925028973099,176185.484375,151118.90625,189900.703125,155611.15625,151626.015625,168083.15625,177663.125,157357.984375
9,0.03998945024704881,176047.796875,150986.125,189759.078125,155481.953125,151474.109375,167936.53125,177514.96875,157244.53125
10,0.043988550429276074,176056.296875,150973.796875,189768.46875,155473.640625,151475.640625,167928.3125,177504.59375,157205.546875
11,0.04798875038659389,176191.65625,151099.40625,189908.75,155600.6875,151619.125,168065.28125,177642.828125,157312.390625
12,0.05198885034360501,176225.453125,151147.515625,189945.21875,155644.328125,151659.8125,168115.4375,177690.203125,157370.421875
13,0.05598915030077478,176161.171875,151094.84375,189878.4375,155591.9375,151587.84375,168039.265625,177617.15625,157330.890625
14,0.0599893502580926,176015.4375,150955.46875,189729.578125,155460.59375,151434.6875,167882.703125,177469.109375,157221.640625
15,0.06398945021510372,176028.578125,150948.125,189742.890625,155461.390625,151450.78125,167891.46875,177483.953125,157206.4375
16,0.06798865039763768,176175.65625,151084.296875,189893.359375,155602.84375,151612.6875,168047.21875,177646.75,157329.5625
17,0.0719887503546488,176222.953125,151141.4375,189941.015625,155667.484375,151666.609375,168103.8125,177696.46875,157393.125
18,0.07598885031211466,176164.203125,151095.75,189877.546875,155605.34375,151606.53125,168047.125,177636.921875,157357.984375
19,0.07998895026912578,176031.96875,150970.03125,189740.125,155474.8125,151469.109375,167909.703125,177504.328125,157251.59375
20,0.0839891502264436,176052.984375,150972.0,189764.625,155485.171875,151496.828125,167926.78125,177518.546875,157244.890625
21,0.08798925018345471,176197.109375,151105.40625,189914.203125,155622.515625,151653.28125,168074.671875,177661.421875,157355.84375
22,0.09198935014046583,176243.328125,151161.640625,189962.03125,155683.578125,151703.796875,168126.078125,177707.015625,157406.265625
23,0.0959894500979317,176182.0,151116.3125,189901.328125,155626.4375,151645.78125,168072.703125,177651.578125,157371.578125
24,0.09998855028015896,176037.875,150983.09375,189758.09375,155490.28125,151499.5,167925.890625,177508.265625,157258.921875
25,0.10398865023717008,176059.25,150985.0625,189780.984375,155496.796875,151518.546875,167936.796875,177520.515625,157239.609375
26,0.10798875019463594,176195.59375,151111.5625,189922.25,155619.640625,151662.3125,168076.625,177659.90625,157340.90625
27,0.11198885015164706,176244.234375,151169.234375,189970.4375,155673.296875,151709.703125,168129.03125,177713.984375,157401.703125
28,0.11598905010851013,176191.484375,151125.78125,189910.078125,155622.78125,151639.875,168073.40625,177648.8125,157358.96875
29,0.11998915006597599,176049.859375,150987.03125,189761.9375,155492.953125,151481.09375,167921.328125,177498.4375,157239.515625
30,0.12398925002298711,176066.9375,150982.109375,189775.171875,155485.359375,151488.953125,167920.265625,177501.46875,157218.609375
31,0.1280167088420967,176210.34375,151112.640625,189920.09375,155611.6875,151633.609375,168066.4375,177641.296875,157317.9375
32,0.13201570924957196,176254.515625,151164.765625,189963.46875,155663.1875,151678.765625,168121.6875,177698.796875,157371.578125
33,0.13601580920658307,176189.875,151112.640625,189896.046875,155611.25,151614.03125,168067.609375,177653.109375,157349.9375
34,0.1400159091635942,176038.859375,150967.4375,189741.640625,155475.515625,151453.28125,167908.375,177496.1875,157235.40625
35,0.14401620912076396,176041.71875,150953.859375,189747.640625,155475.34375,151459.71875,167908.1875,177497.984375,157213.140625
36,0.14801640907808178,176182.625,151087.078125,189892.5625,155593.984375,151613.140625,168054.015625,177645.421875,157336.96875
37,0.15201550926030905,176223.484375,151139.828125,189935.65625,155646.5625,151656.765625,168100.5,177688.15625,157392.765625
38,0.1560156092177749,176160.71875,151091.8125,189871.640625,155600.609375,151593.921875,168039.0,177633.4375,157362.90625
39,0.16001570917478602,176023.03125,150959.671875,189730.828125,155477.765625,151451.765625,167899.96875,177497.796875,157253.296875
40,0.16401590913210384,176030.640625,150952.0625,189741.109375,155468.90625,151463.296875,167905.953125,177501.109375,157225.75
41,0.16801610908896691,176175.296875,151086.71875,189889.875,155605.703125,151619.125,168056.96875,177645.421875,157341.453125
42,0.17201630904628473,176222.140625,151142.40625,189936.015625,155659.96875,151670.1875,168114.546875,177704.25,157391.96875
43,0.17601640900329585,176165.546875,151095.65625,189876.5625,155615.171875,151611.796875,168062.234375,177653.375,157363.796875
44,0.18001550918597786,176025.265625,150960.65625,189731.8125,155482.234375,151461.328125,167915.078125,177492.796875,157245.6875
45,0.18401560914298898,176030.8125,150950.8125,189743.15625,155476.234375,151473.3125,167915.96875,177495.390625,157216.1875
46,0.1880157091000001,176177.4375,151088.6875,189899.890625,155619.46875,151637.453125,168069.84375,177651.765625,157337.515625
